Processed in Sink as enumerable: (UserId, user:3451; photo:82663; lat:; long:, 1642352927692)
Processed in Sink as enumerable: (UserId, user:3308; photo:82663; lat:; long:, 1642352927692)
Processed in Sink as enumerable: (UserId, user:3309; photo:82663; lat:; long:, 1642352927692)
Processed in Sink as enumerable: (UserId, user:3356; photo:82663; lat:; long:, 1642352927692)
Processed in Sink as enumerable: (UserId, user:3358; photo:82663; lat:; long:, 1642352927692)
Processed in Sink as enumerable: (UserId, user:3360; photo:82663; lat:; long:, 1642352927692)
Processed in Sink as enumerable: (UserId, user:3362; photo:82663; lat:; long:, 1642352927692)
Processed in Sink as enumerable: (UserId, user:9259; photo:71231; lat:43.052223; long:-87.95583, 1642352927712)
Processed in Sink as enumerable: (UserId, user:9309; photo:71231; lat:; long:, 1642352927712)
Processed in Sink as enumerable: (UserId, user:9310; photo:71231; lat:; long:, 1642352927712)
Processed in Sink as enumerable: (UserId, user:9312; photo:71231; lat:; long:, 1642352927712)
Processed in Sink as enumerable: (UserId, user:9314; photo:71231; lat:; long:, 1642352927712)
Processed in Sink as enumerable: (UserId, user:2495; photo:11106; lat:42; long:12, 1642352927727)
Processed in Sink as enumerable: (UserId, user:2582; photo:11106; lat:; long:, 1642352927727)
Processed in Sink as enumerable: (UserId, user:2585; photo:11106; lat:; long:, 1642352927727)
Processed in Sink as enumerable: (UserId, user:2586; photo:11106; lat:; long:, 1642352927727)
Processed in Sink as enumerable: (UserId, user:2587; photo:11106; lat:; long:, 1642352927727)
Processed in Sink as enumerable: (UserId, user:2588; photo:11106; lat:; long:, 1642352927727)
Processed in Sink as enumerable: (UserId, user:2397; photo:11106; lat:; long:, 1642352927727)
Processed in Sink as enumerable: (UserId, user:2460; photo:11106; lat:; long:, 1642352927727)
Processed in Sink as enumerable: (UserId, user:2566; photo:11106; lat:; long:, 1642352927727)
Processed in Sink as enumerable: (UserId, user:9738; photo:136700; lat:13.4825; long:144.77083, 1642352927748)
Processed in Sink as enumerable: (UserId, user:339; photo:136700; lat:; long:, 1642352927748)
Processed in Sink as enumerable: (UserId, user:342; photo:136700; lat:; long:, 1642352927748)
Processed in Sink as enumerable: (UserId, user:7161; photo:71916; lat:35; long:105, 1642352927756)
Processed in Sink as enumerable: (UserId, user:7084; photo:71916; lat:; long:, 1642352927756)
Processed in Sink as enumerable: (UserId, user:7132; photo:71916; lat:; long:, 1642352927756)
Processed in Sink as enumerable: (UserId, user:3105; photo:71916; lat:; long:, 1642352927756)
Processed in Sink as enumerable: (UserId, user:392; photo:128458; lat:-35; long:-58, 1642352927789)
Processed in Sink as enumerable: (UserId, user:296; photo:128458; lat:; long:, 1642352927789)
